Source	Target	Type	Timestamp	Weight	OtherInfo	datum	b1-nummer	achternaam	voorletters	voorna(a)m(en)	roepnaam	prepositie	geslacht
1	0	Directed		1.0	gasthoogleraar atoom-, molecuul- en laserfysica, vrije universiteit te amsterdam	00-00-2004/	3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
1	66	Directed		1.0	lid deelnemersraad abp (algemeen burgerlijk pensioenfonds)		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
1	1389	Directed		1.0	lid hoofdbestuur cmhf (centrale voor middelbare en hoger functionarissen)		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
1	2341	Directed		1.0	voorzitter cor (centrale ondernemingsraad), universiteit van amsterdam		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
1	4417	Directed		1.0	lid algemene vergadering ipo (interprovinciaal overleg)	00-00-2011	3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
1	5765	Directed		1.0	voorzitter nbp (nederlandse bond voor pensioenbelangen)	12-05-2009/10-01-2011	3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
1	8815	Directed		1.0	secretaris		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
1	9306	Directed		1.0	voorzitter stichting pba (pensioenbescherming ambtenaren)	18-04-2013/	3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
1	10390	Directed		1.0	deken faculteit scheikunde,		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
1	10503	Directed		1.0	voorzitter vawo (vereniging voor personeel aan universiteit en onderzoeksinstellingen)		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	0	Directed		1.0	gasthoogleraar atoom-, molecuul- en laserfysica, vrije universiteit te amsterdam	00-00-2004/	3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	66	Directed		1.0	lid deelnemersraad abp (algemeen burgerlijk pensioenfonds)		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	1149	Directed		1.0	lid klankbordgroep voor de totstandkoming cao voortgezet onderwijs, namens de bestuursraad pc onderwijs	00-00-2003	3037	Hoeve	H.	Hendrik	Henk	ten	m
2	1281	Directed		1.0	lid vaksectie economische wetenschappen cevo (centrale examencommissie vaststelling opgaven)	00-00-1989/00-00-1994	3037	Hoeve	H.	Hendrik	Henk	ten	m
2	1389	Directed		1.0	lid hoofdbestuur cmhf (centrale voor middelbare en hoger functionarissen)		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	2341	Directed		1.0	voorzitter cor (centrale ondernemingsraad), universiteit van amsterdam		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	2527	Directed		1.0	"lid actiegroep """""		2944	Bierman	M.	Marten	Marten		m
2	3438	Directed		1.0	lid stuurgroep		2944	Bierman	M.	Marten	Marten		m
2	3861	Directed		1.0	tijdelijk adviseur toekomstvisie		2944	Bierman	M.	Marten	Marten		m
2	4177	Directed		1.0	voorzitter	00-00-2000/	2944	Bierman	M.	Marten	Marten		m
2	4417	Directed		1.0	lid algemene vergadering ipo (interprovinciaal overleg)	00-00-2011	3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	5765	Directed		1.0	voorzitter nbp (nederlandse bond voor pensioenbelangen)	12-05-2009/10-01-2011	3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	6441	Directed		2.0	lid algemeen bestuur olaf (openbaar lichaam afvalverwijdering friesland)	00-00-1983/00-00-1986	3037	Hoeve	H.	Hendrik	Henk	ten	m
2	6856	Directed		2.0	"redacteur tweemaandelijks valtijdschrift """""	00-00-1972/00-00-1975	2944	Bierman	M.	Marten	Marten		m
2	8732	Directed		1.0	penningmeester stichting frysk letterkundich museum en dokumintaasjesintrum te ljouwert (leeuwarden)	00-00-1994/00-00-2002	3037	Hoeve	H.	Hendrik	Henk	ten	m
2	8815	Directed		1.0	secretaris		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	9306	Directed		1.0	voorzitter stichting pba (pensioenbescherming ambtenaren)	18-04-2013/	3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	9629	Directed		1.0	lid bestuur		2944	Bierman	M.	Marten	Marten		m
2	9652	Directed		2.0	lid bestuur	00-00-1994/00-00-1995	3037	Hoeve	H.	Hendrik	Henk	ten	m
2	10390	Directed		1.0	deken faculteit scheikunde,		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	10503	Directed		1.0	voorzitter vawo (vereniging voor personeel aan universiteit en onderzoeksinstellingen)		3291	Lange	C.A.	Cornelis Andreas	Kees	de	m
2	11221	Directed		1.0	voorzitter	00-00-1999	2944	Bierman	M.	Marten	Marten		m
4	3	Directed		1.0	voorzitter commissie van beroep-, verzoek- en bezwaarschriften, gemeente velsen		2563	Vos	O.P.G.	Otto Pieter Gisbert	Otto		m
4	10	Directed		2.0	korspbeheerder politie		1809	Aartsen	J.J.	Jozias Johannes	Jozias	van	m
4	16	Directed		1.0	"lid redactieraad """""		2273	Rosenthal	U.	Uriël	Uri		m
4	21	Directed		1.0	lid bestuur (1983 voorzitter) stichting homomonument	00-00-1980/00-00-1987	2545	Stoel	A.L.E.C.	Anne Liza Edith Cornelia	Anne Lize	van der	v
4	24	Directed		2.0	vicevoorzitter lustrumcommissie	00-00-2009/00-00-2010	3285	Bruijn	J.A.	Jan Anthonie	Jan Anthonie		m
4	25	Directed		1.0	fellow 21st century trust, salzburg global seminar, londen/salzburg	00-09-1988/	2288	Baalen	J.C.	Johannes Cornelis	Hans	van	m
4	29	Directed		1.0	voorzitter verkeersveiligheidsorganisatie	01-01-2006/00-07-2006	3043	Bruins	B.J.	Bruno Johannes	Bruno		m
4	30	Directed		1.0	"lid werkgroep 4-5 mei comité ""vrouwen in verzet, toen en nu"""	00-00-1984/00-00-1985	2545	Stoel	A.L.E.C.	Anne Liza Edith Cornelia	Anne Lize	van der	v
4	34	Directed		1.0	lid 4 mei-comité tilburg	00-00-2003/00-00-2010	3250	Dijkhoff	K.H.D.M.	Klaas Henricus Dominicus Maria	Klaas		m
4	51	Directed		1.0	voorzitter raad van advies	00-00-2007	3011	Kalsbeek-Schimmelpenninck van der Oije	E.M.	Elsabe Margareta	Elsabe		v
4	55	Directed		1.0	lid raad van commissarissen aardappel b.v.	00-00-1981/00-00-1991	2217	Geluk	J.M.	Jan Marinus	Jan		m
4	56	Directed		1.0	"ambassadeur """""		2745	Weisglas	F.W.	Frans W.	Frans		m
4	59	Directed		1.0	lid bestuur abal (stichting afzetbevordering van artikelen uit ontwikkelingslanden)	/(omstreeks: 00-11-1983)/	2738	Korthals	A.H.	Albertus Hendrikus	Benk		m
4	62	Directed		1.0	lid bestuur		2410	Griffith	L.J.	Laetitia Juliette	Laetitia		v
4	63	Directed		1.0	lid raad van advies abn amro holding n.v.		2994	Dekker	S.M.	Sybilla Maria	Sybilla		v
4	76	Directed		1.0	lid raad van advies universiteit	00-09-2006/	2395	Nijs	A.D.S.M.	Anette Dorothea Sophia Maria	Annette		v
4	81	Directed		2.0	lid		3205	Steur	G.A.	Gerard Adriaan	Ard	van der	m
4	83	Directed		1.0	lid raad van advies academie bestuur en recht, hogeschool te enschede	/(omstreeks: 00-00-1996)/(00-00-1999)/	2523	Kamp	H.G.J.	Henricus Gregorius Jozeph	Henk		m
4	84	Directed		1.0	lid	01-01-2007/	2231	Nicolaď	A.	Atzo	Atzo		m
4	93	Directed		1.0	lid bestuur		1894	Hermans	L.M.L.H.A.	Louis Marie Lucien Henri Alphonse	Loek		m
4	97	Directed		1.0	lid raad van toezicht	00-00-1994/00-00-1997	1894	Hermans	L.M.L.H.A.	Louis Marie Lucien Henri Alphonse	Loek		m
4	100	Directed		1.0	lid raad van toezicht academisch ziekenhuis leiden (later leids universiteit medisch centrum)	00-00-1996/00-00-2003	2994	Dekker	S.M.	Sybilla Maria	Sybilla		v
4	102	Directed		2.0	lid raad van toezicht	00-00-1993/00-00-1994	1906	Terpstra	E.G.	Erica Georgina	Erica		v
4	108	Directed		1.0	docent en cursusleider diverse post-		2296	Broekers-Knol	A.	Anneke	Ankie		v
4	114	Directed		1.0	"voorzitter raad van commissarissen ""acantus groep"" te veendam"	01-01-2008/00-12-2010	2991	Remkes	J.W.	Johannes Wijnandus	Johan		m
4	116	Directed		1.0	lid (en voorzitter) raad van commissarissen accountantskantoor schouwen-duiveland b.v.	00-00-1979/00-00-1991	2217	Geluk	J.M.	Jan Marinus	Jan		m
4	117	Directed		1.0	adviseur bestuur		2217	Geluk	J.M.	Jan Marinus	Jan		m
4	120	Directed		1.0	voorzitter acir (adviescommissie coördinatie ict en rampenbestrijding)	00-03-2004/00-03-2005	1894	Hermans	L.M.L.H.A.	Louis Marie Lucien Henri Alphonse	Loek		m
4	127	Directed		1.0	lid bestuur act (belangenvereniging voor acteurs)	00-00-2014/	2263	Dupuis	H.M.	Heleen Margriet	Heleen		v
4	130	Directed		1.0	"lid redactieraad """""		2273	Rosenthal	U.	Uriël	Uri		m
4	131	Directed		1.0	lid actal (adviescollege toetsing administratieve lasten)	00-05-2000/30-11-2006	3063	Burg	B.I.	Brigitte Ingrid	Brigitte	van der	v
4	132	Directed		1.0	voorzitter actal (adviescollege toetsing administratieve lasten)	01-05-2000/01-01-2009	2739	Linschoten	R.L.O.	Robin Lorenz Oscar	Robin		m
4	139	Directed		1.0	ab-	00-00-1974/00-00-1975	2545	Stoel	A.L.E.C.	Anne Liza Edith Cornelia	Anne Lize	van der	v
4	140	Directed		1.0	lid (ab-actis) vvsl (vereeniging van vrouwelijke studenten te leiden)		2263	Dupuis	H.M.	Heleen Margriet	Heleen		v
4	148	Directed		1.0	"voorzitter ""adfiz"" (adviseurs in financiële zekerheid)"	01-03-2011/01-03-2015	1894	Hermans	L.M.L.H.A.	Louis Marie Lucien Henri Alphonse	Loek		m
4	156	Directed		1.0	"lid raad van commissarissen ""adure"" b.v. te assen"	00-10-1998/01-01-2001	2266	Kneppers-Heynert	E.M.	Elizabeth Mary	Liesbeth		v
4	158	Directed		1.0	voorzitter advies commissie welzijn edam-volendam	00-00-1983/00-00-1984	2933	Blécourt-Maas	J.	Jacoba	Cobi	de	v
4	159	Directed		1.0	voorzitter advies- en arbitragecommissie	15-03-2011/	2991	Remkes	J.W.	Johannes Wijnandus	Johan		m
4	161	Directed		2.0	lid advies- en arbitragecommissie rijksdienst		2273	Rosenthal	U.	Uriël	Uri		m
4	167	Directed		1.0	lid algemeen bestuur/raad van	00-00-1999/	3008	Graaf	G.J.	Godefridus Jan	Fred	de	m
4	173	Directed		1.0	voorzitter raad van toezicht en		1979	Gmelich Meijling	J.Ch.	Jan Christoffel	Jan		m
4	174	Directed		1.0	"lid raad van toezicht en advies, stichting ""free voice"""		2273	Rosenthal	U.	Uriël	Uri		m
4	193	Directed		1.0	lid		2768	Graafeiland	J.A.	John Adriaan	John	van	m
4	201	Directed		1.0	lid	00-00-1992/00-00-1997	3011	Kalsbeek-Schimmelpenninck van der Oije	E.M.	Elsabe Margareta	Elsabe		v
4	204	Directed		1.0	lid		2760	Hoekzema	W.K.	Willem Klaas	Willem		m
4	223	Directed		1.0	lid formatie-	00-00-2011	2506	Cornielje	C.G.A.	Clemens Gerard Antoon	Clemens		m
4	226	Directed		1.0	lid adviescommissie pakket, cvz (college van zorgverzekeringen)	00-00-2012/	2263	Dupuis	H.M.	Heleen Margriet	Heleen		v
4	227	Directed		1.0	voorzitter	00-00-1986/00-00-1994	1945	Ginjaar	L.	Leendert	Leendert		m
4	232	Directed		1.0	voorzitter	00-00-1986/00-00-1992	1945	Ginjaar	L.	Leendert	Leendert		m
4	238	Directed		1.0	lid	00-00-1976/00-00-2008	3011	Kalsbeek-Schimmelpenninck van der Oije	E.M.	Elsabe Margareta	Elsabe		v
4	240	Directed		1.0	voorzitter		2744	Voorhoeve	J.J.C.	Joris Jacob Clemens	Joris		m
4	243	Directed		1.0	voorzitter	01-11-2007/01-07-2011	1894	Hermans	L.M.L.H.A.	Louis Marie Lucien Henri Alphonse	Loek		m
4	244	Directed		1.0	lid	00-00-2004/00-00-2005	1894	Hermans	L.M.L.H.A.	Louis Marie Lucien Henri Alphonse	Loek		m
4	247	Directed		1.0	secretaris adviescommissie, kandidaten voor de waterschappen zeeuws-vlaanderen en zeeuwse eilanden	00-00-2008/00-00-2009	3252	Bosman	A.	André	André		m
4	256	Directed		1.0	voorzitter  bestuursacademie		3146	Huijbregts-Schiedon	W.H.	Wilhelmina Hendrica	Helmi		v
4	259	Directed		1.0	lid adviesraad (ambassadeur) 'military talent for business solutions' (m4b)	00-00-2012/	1894	Hermans	L.M.L.H.A.	Louis Marie Lucien Henri Alphonse	Loek		m
4	263	Directed		1.0	lid adviesraad big (faculteitsvereniging bedrijfskunde)	00-07-2004/00-00-2008	2266	Kneppers-Heynert	E.M.	Elizabeth Mary	Liesbeth		v
4	265	Directed		1.0	lid adviesraad center for management of social risk and public crisis, nanjing university (china)		2273	Rosenthal	U.	Uriël	Uri		m
4	272	Directed		1.0	"voorzitter adviesraad ""de vries juristen"", woerden"		3176	Knip	M.A.J.	Menno Arie Jan	Menno		m
4	273	Directed		1.0	lid adviesraad defensie-aangelegenheden	00-00-1980/	2744	Voorhoeve	J.J.C.	Joris Jacob Clemens	Joris		m
